iso3c,country,date,CPIBY
AFG,Afghanistan,2016,1987
AFG,Afghanistan,2017,1987
AFG,Afghanistan,2018,1987
AGO,Angola,2016,2009
AGO,Angola,2017,2009
AGO,Angola,2018,2009
ALB,Albania,2016,2014
ALB,Albania,2017,2016
ALB,Albania,2018,2016
ARE,United Arab Emirates,2016,2008
ARE,United Arab Emirates,2017,2008
ARE,United Arab Emirates,2018,2008
ARG,Argentina,2016,2005
ARG,Argentina,2017,2005
ARG,Argentina,2018,2005
ARM,Armenia,2016,2010
ARM,Armenia,2017,2010
ARM,Armenia,2018,2010
ATG,Antigua and Barbuda,2016,2001
ATG,Antigua and Barbuda,2017,2001
ATG,Antigua and Barbuda,2018,2001
AUS,Australia,2016,annual chained
AUS,Australia,2017,annual chained
AUS,Australia,2018,annual chained
AUT,Austria,2016,annual chained
AUT,Austria,2017,annual chained
AUT,Austria,2018,annual chained
AZE,Azerbaijan,2016,annual chained
AZE,Azerbaijan,2017,annual chained
AZE,Azerbaijan,2018,annual chained
BDI,Burundi,2016,2008
BDI,Burundi,2017,2014
BDI,Burundi,2018,2014
BEL,Belgium,2016,2014
BEL,Belgium,2017,2014
BEL,Belgium,2018,2014
BEN,Benin,2016,2008
BEN,Benin,2017,2008
BEN,Benin,2018,2008
BFA,Burkina Faso,2016,2008
BFA,Burkina Faso,2017,2008
BFA,Burkina Faso,2018,2008
BGD,Bangladesh,2016,2006
BGD,Bangladesh,2017,2006
BGD,Bangladesh,2018,2006
BGR,Bulgaria,2016,annual chained
BGR,Bulgaria,2017,annual chained
BGR,Bulgaria,2018,annual chained
BHR,Bahrain,2016,2006
BHR,Bahrain,2017,2006
BHR,Bahrain,2018,2006
BHS,"Bahamas, The",2016,2006
BHS,"Bahamas, The",2017,2006
BHS,"Bahamas, The",2018,2006
BIH,Bosnia and Herzegovina,2016,2007
BIH,Bosnia and Herzegovina,2017,2007
BIH,Bosnia and Herzegovina,2018,2007
BLR,Belarus,2016,annual chained
BLR,Belarus,2017,annual chained
BLR,Belarus,2018,annual chained
BLZ,Belize,2016,1991
BLZ,Belize,2017,1991
BLZ,Belize,2018,1991
BOL,Bolivia,2016,2004
BOL,Bolivia,2017,2004
BOL,Bolivia,2018,2004
BRA,Brazil,2016,2009
BRA,Brazil,2017,2009
BRA,Brazil,2018,2009
BRB,Barbados,2016,1999
BRB,Barbados,2017,1999
BRB,Barbados,2018,1999
BRN,Brunei Darussalam,2016,2005
BRN,Brunei Darussalam,2017,2005
BRN,Brunei Darussalam,2018,2005
BTN,Bhutan,2016,2003
BTN,Bhutan,2017,2003
BTN,Bhutan,2018,2003
BWA,Botswana,2016,2003
BWA,Botswana,2017,2003
BWA,Botswana,2018,2003
CAF,Central African Republic,2016,1975
CAF,Central African Republic,2017,1975
CAF,Central African Republic,2018,1975
CAN,Canada,2016,2015
CAN,Canada,2017,2015
CAN,Canada,2018,2015
CHE,Switzerland,2016,annual chained
CHE,Switzerland,2017,annual chained
CHE,Switzerland,2018,annual chained
CHL,Chile,2016,2007
CHL,Chile,2017,2012
CHL,Chile,2018,2012
CHN,China,2016,annual chained
CHN,China,2017,annual chained
CHN,China,2018,annual chained
CIV,Côte d'Ivoire,2016,2008
CIV,Côte d'Ivoire,2017,2008
CIV,Côte d'Ivoire,2018,2008
CMR,Cameroon,2016,1996
CMR,Cameroon,2017,1996
CMR,Cameroon,2018,1996
COD,"Congo, Dem. Rep.",2016,1995
COD,"Congo, Dem. Rep.",2017,1995
COD,"Congo, Dem. Rep.",2018,1995
COG,"Congo, Rep.",2016,1997
COG,"Congo, Rep.",2017,1997
COG,"Congo, Rep.",2018,1997
COL,Colombia,2016,2007
COL,Colombia,2017,2007
COL,Colombia,2018,2007
COM,Comoros,2016,1995
COM,Comoros,2017,1995
COM,Comoros,2018,1995
CPV,Cabo Verde,2016,2002
CPV,Cabo Verde,2017,2002
CPV,Cabo Verde,2018,2002
CRI,Costa Rica,2016,2013
CRI,Costa Rica,2017,2013
CRI,Costa Rica,2018,2013
CYP,Cyprus,2016,2010
CYP,Cyprus,2017,2016
CYP,Cyprus,2018,2016
CZE,Czech Republic,2016,2012
CZE,Czech Republic,2017,2016
CZE,Czech Republic,2018,2016
DEU,Germany,2016,2013
DEU,Germany,2017,2010
DEU,Germany,2018,2010
DJI,Djibouti,2016,1999
DJI,Djibouti,2017,1999
DJI,Djibouti,2018,1999
DMA,Dominica,2016,2009
DMA,Dominica,2017,2009
DMA,Dominica,2018,2009
DNK,Denmark,2016,annual chained
DNK,Denmark,2017,annual chained
DNK,Denmark,2018,annual chained
DOM,Dominican Republic,2016,2007
DOM,Dominican Republic,2017,2007
DOM,Dominican Republic,2018,2007
DZA,Algeria,2016,2000
DZA,Algeria,2017,2000
DZA,Algeria,2018,2000
ECU,Ecuador,2016,2004
ECU,Ecuador,2017,2004
ECU,Ecuador,2018,2004
EGY,"Egypt, Arab Rep.",2016,2009
EGY,"Egypt, Arab Rep.",2017,2009
EGY,"Egypt, Arab Rep.",2018,2009
ERI,Eritrea,2016,0
ERI,Eritrea,2017,0
ERI,Eritrea,2018,0
ESP,Spain,2016,2014
ESP,Spain,2017,2014
ESP,Spain,2018,2014
EST,Estonia,2016,annual chained
EST,Estonia,2017,annual chained
EST,Estonia,2018,annual chained
ETH,Ethiopia,2016,2005
ETH,Ethiopia,2017,2005
ETH,Ethiopia,2018,2005
FIN,Finland,2016,annual chained
FIN,Finland,2017,annual chained
FIN,Finland,2018,annual chained
FJI,Fiji,2016,2009
FJI,Fiji,2017,2009
FJI,Fiji,2018,2009
FRA,France,2016,annual chained
FRA,France,2017,annual chained
FRA,France,2018,annual chained
FSM,"Micronesia, Fed. Sts.",2016,2005
FSM,"Micronesia, Fed. Sts.",2017,2005
FSM,"Micronesia, Fed. Sts.",2018,2005
GAB,Gabon,2016,2003
GAB,Gabon,2017,2003
GAB,Gabon,2018,2003
GBR,United Kingdom,2016,annual chained
GBR,United Kingdom,2017,annual chained
GBR,United Kingdom,2018,annual chained
GEO,Georgia,2016,2015
GEO,Georgia,2017,2016
GEO,Georgia,2018,2016
GHA,Ghana,2016,2006
GHA,Ghana,2017,2006
GHA,Ghana,2018,2006
GIN,Guinea,2016,1991
GIN,Guinea,2017,2003
GIN,Guinea,2018,2003
GMB,"Gambia, The",2016,2004
GMB,"Gambia, The",2017,2004
GMB,"Gambia, The",2018,2004
GNB,Guinea-Bissau,2016,2009
GNB,Guinea-Bissau,2017,2009
GNB,Guinea-Bissau,2018,2009
GNQ,Equatorial Guinea,2016,2006
GNQ,Equatorial Guinea,2017,2006
GNQ,Equatorial Guinea,2018,2006
GRC,Greece,2016,2012
GRC,Greece,2017,2012
GRC,Greece,2018,2012
GRD,Grenada,2016,2010
GRD,Grenada,2017,2010
GRD,Grenada,2018,2010
GTM,Guatemala,2016,2010
GTM,Guatemala,2017,2010
GTM,Guatemala,2018,2010
GUY,Guyana,2016,2006
GUY,Guyana,2017,2006
GUY,Guyana,2018,2006
HND,Honduras,2016,1999
HND,Honduras,2017,1999
HND,Honduras,2018,1999
HRV,Croatia,2016,2014
HRV,Croatia,2017,2014
HRV,Croatia,2018,2014
HTI,Haiti,2016,2004
HTI,Haiti,2017,2004
HTI,Haiti,2018,2004
HUN,Hungary,2016,annual chained
HUN,Hungary,2017,annual chained
HUN,Hungary,2018,annual chained
IDN,Indonesia,2016,2012
IDN,Indonesia,2017,2012
IDN,Indonesia,2018,2012
IND,India,2016,2012
IND,India,2017,2012
IND,India,2018,2012
IRL,Ireland,2016,2010
IRL,Ireland,2017,2010
IRL,Ireland,2018,2010
IRN,"Iran, Islamic Rep.",2016,2011
IRN,"Iran, Islamic Rep.",2017,2011
IRN,"Iran, Islamic Rep.",2018,2011
IRQ,Iraq,2016,2007
IRQ,Iraq,2017,2007
IRQ,Iraq,2018,2007
ISL,Iceland,2016,annual chained
ISL,Iceland,2017,annual chained
ISL,Iceland,2018,annual chained
ISR,Israel,2016,2009
ISR,Israel,2017,2009
ISR,Israel,2018,2009
ITA,Italy,2016,annual chained
ITA,Italy,2017,annual chained
ITA,Italy,2018,annual chained
JAM,Jamaica,2016,2005
JAM,Jamaica,2017,2005
JAM,Jamaica,2018,2005
JOR,Jordan,2016,2007
JOR,Jordan,2017,2007
JOR,Jordan,2018,2007
JPN,Japan,2016,2015
JPN,Japan,2017,2015
JPN,Japan,2018,2015
KAZ,Kazakhstan,2016,annual chained
KAZ,Kazakhstan,2017,annual chained
KAZ,Kazakhstan,2018,annual chained
KEN,Kenya,2016,2006
KEN,Kenya,2017,2006
KEN,Kenya,2018,2006
KGZ,Kyrgyz Republic,2016,annual chained
KGZ,Kyrgyz Republic,2017,annual chained
KGZ,Kyrgyz Republic,2018,annual chained
KHM,Cambodia,2016,2004
KHM,Cambodia,2017,2004
KHM,Cambodia,2018,2004
KIR,Kiribati,2016,1996
KIR,Kiribati,2017,1996
KIR,Kiribati,2018,1996
KNA,St. Kitts and Nevis,2016,1998
KNA,St. Kitts and Nevis,2017,1998
KNA,St. Kitts and Nevis,2018,1998
KOR,"Korea, Rep.",2016,2015
KOR,"Korea, Rep.",2017,2017
KOR,"Korea, Rep.",2018,2017
KWT,Kuwait,2016,2000
KWT,Kuwait,2017,2000
KWT,Kuwait,2018,2000
LAO,Lao PDR,2016,2013
LAO,Lao PDR,2017,2013
LAO,Lao PDR,2018,2013
LBN,Lebanon,2016,2007
LBN,Lebanon,2017,2007
LBN,Lebanon,2018,2007
LBR,Liberia,2016,1964
LBR,Liberia,2017,1964
LBR,Liberia,2018,1964
LBY,Libya,2016,2003
LBY,Libya,2017,2003
LBY,Libya,2018,2003
LCA,St. Lucia,2016,2008
LCA,St. Lucia,2017,2008
LCA,St. Lucia,2018,2008
LKA,Sri Lanka,2016,2007
LKA,Sri Lanka,2017,2007
LKA,Sri Lanka,2018,2007
LSO,Lesotho,2016,2003
LSO,Lesotho,2017,2003
LSO,Lesotho,2018,2003
LTU,Lithuania,2016,annual chained
LTU,Lithuania,2017,annual chained
LTU,Lithuania,2018,annual chained
LUX,Luxembourg,2016,annual chained
LUX,Luxembourg,2017,annual chained
LUX,Luxembourg,2018,annual chained
LVA,Latvia,2016,annual chained
LVA,Latvia,2017,annual chained
LVA,Latvia,2018,annual chained
MAR,Morocco,2016,2007
MAR,Morocco,2017,2007
MAR,Morocco,2018,2007
MDA,Moldova,2016,annual chained
MDA,Moldova,2017,annual chained
MDA,Moldova,2018,annual chained
MDG,Madagascar,2016,2008
MDG,Madagascar,2017,2008
MDG,Madagascar,2018,2008
MDV,Maldives,2016,2010
MDV,Maldives,2017,2016
MDV,Maldives,2018,2016
MEX,Mexico,2016,2008
MEX,Mexico,2017,2008
MEX,Mexico,2018,2008
MHL,Marshall Islands,2016,2002
MHL,Marshall Islands,2017,2002
MHL,Marshall Islands,2018,2002
MKD,"Macedonia, FYR",2016,annual chained
MKD,"Macedonia, FYR",2017,annual chained
MKD,"Macedonia, FYR",2018,annual chained
MLI,Mali,2016,1996
MLI,Mali,2017,1996
MLI,Mali,2018,1996
MLT,Malta,2016,2009
MLT,Malta,2017,2009
MLT,Malta,2018,2009
MMR,Myanmar,2016,2012
MMR,Myanmar,2017,2012
MMR,Myanmar,2018,2012
MNE,Montenegro,2016,2008
MNE,Montenegro,2017,2015
MNE,Montenegro,2018,2015
MNG,Mongolia,2016,2015
MNG,Mongolia,2017,2015
MNG,Mongolia,2018,2015
MOZ,Mozambique,2016,2003
MOZ,Mozambique,2017,2003
MOZ,Mozambique,2018,2003
MRT,Mauritania,2016,2007
MRT,Mauritania,2017,2007
MRT,Mauritania,2018,2007
MUS,Mauritius,2016,2012
MUS,Mauritius,2017,2012
MUS,Mauritius,2018,2012
MWI,Malawi,2016,1998
MWI,Malawi,2017,1998
MWI,Malawi,2018,1998
MYS,Malaysia,2016,2014
MYS,Malaysia,2017,2014
MYS,Malaysia,2018,2014
NAM,Namibia,2016,2010
NAM,Namibia,2017,2010
NAM,Namibia,2018,2010
NER,Niger,2016,1996
NER,Niger,2017,1996
NER,Niger,2018,1996
NGA,Nigeria,2016,2009
NGA,Nigeria,2017,2009
NGA,Nigeria,2018,2009
NIC,Nicaragua,2016,2007
NIC,Nicaragua,2017,2007
NIC,Nicaragua,2018,2007
NLD,Netherlands,2016,annual chained
NLD,Netherlands,2017,annual chained
NLD,Netherlands,2018,annual chained
NOR,Norway,2016,annual chained
NOR,Norway,2017,annual chained
NOR,Norway,2018,annual chained
NPL,Nepal,2016,2006
NPL,Nepal,2017,2006
NPL,Nepal,2018,2006
NRU,Nauru,2016,0
NRU,Nauru,2017,0
NRU,Nauru,2018,0
NZL,New Zealand,2016,2006
NZL,New Zealand,2017,annual chained
NZL,New Zealand,2018,annual chained
OMN,Oman,2016,2000
OMN,Oman,2017,2000
OMN,Oman,2018,2000
PAK,Pakistan,2016,2008
PAK,Pakistan,2017,2008
PAK,Pakistan,2018,2008
PAN,Panama,2016,2002
PAN,Panama,2017,2002
PAN,Panama,2018,2002
PER,Peru,2016,2009
PER,Peru,2017,2009
PER,Peru,2018,2009
PHL,Philippines,2016,2006
PHL,Philippines,2017,2006
PHL,Philippines,2018,2006
PLW,Palau,2016,2006
PLW,Palau,2017,2014
PLW,Palau,2018,2014
PNG,Papua New Guinea,2016,1977
PNG,Papua New Guinea,2017,1977
PNG,Papua New Guinea,2018,1977
POL,Poland,2016,annual chained
POL,Poland,2017,annual chained
POL,Poland,2018,annual chained
PRT,Portugal,2016,annual chained
PRT,Portugal,2017,annual chained
PRT,Portugal,2018,annual chained
PRY,Paraguay,2016,2006
PRY,Paraguay,2017,2006
PRY,Paraguay,2018,2006
PSE,West Bank and Gaza,2016,2010
PSE,West Bank and Gaza,2017,2010
PSE,West Bank and Gaza,2018,2010
QAT,Qatar,2016,2006
QAT,Qatar,2017,2006
QAT,Qatar,2018,2006
ROU,Romania,2016,annual chained
ROU,Romania,2017,annual chained
ROU,Romania,2018,annual chained
RUS,Russian Federation,2016,annual chained
RUS,Russian Federation,2017,annual chained
RUS,Russian Federation,2018,annual chained
RWA,Rwanda,2016,2011
RWA,Rwanda,2017,2011
RWA,Rwanda,2018,2011
SAU,Saudi Arabia,2016,1999
SAU,Saudi Arabia,2017,1999
SAU,Saudi Arabia,2018,1999
SDN,Sudan,2016,2008
SDN,Sudan,2017,2008
SDN,Sudan,2018,2008
SEN,Senegal,2016,2008
SEN,Senegal,2017,2008
SEN,Senegal,2018,2008
SGP,Singapore,2016,2013
SGP,Singapore,2017,2013
SGP,Singapore,2018,2013
SLB,Solomon Islands,2016,2006
SLB,Solomon Islands,2017,2006
SLB,Solomon Islands,2018,2006
SLE,Sierra Leone,2016,2004
SLE,Sierra Leone,2017,2004
SLE,Sierra Leone,2018,2004
SLV,El Salvador,2016,2006
SLV,El Salvador,2017,2006
SLV,El Salvador,2018,2006
SMR,San Marino,2016,annual chained
SMR,San Marino,2017,annual chained
SMR,San Marino,2018,annual chained
SOM,Somalia,2016,0
SOM,Somalia,2017,0
SOM,Somalia,2018,0
SRB,Serbia,2016,2008
SRB,Serbia,2017,2016
SRB,Serbia,2018,2016
SSD,South Sudan,2016,2009
SSD,South Sudan,2017,2009
SSD,South Sudan,2018,2009
STP,São Tomé and Principe,2016,1995
STP,São Tomé and Principe,2017,1995
STP,São Tomé and Principe,2018,1995
SUR,Suriname,2016,2008
SUR,Suriname,2017,2008
SUR,Suriname,2018,2008
SVK,Slovak Republic,2016,annual chained
SVK,Slovak Republic,2017,annual chained
SVK,Slovak Republic,2018,annual chained
SVN,Slovenia,2016,annual chained
SVN,Slovenia,2017,annual chained
SVN,Slovenia,2018,annual chained
SWE,Sweden,2016,annual chained
SWE,Sweden,2017,annual chained
SWE,Sweden,2018,annual chained
SWZ,Eswatini,2016,2001
SWZ,Eswatini,2017,2001
SWZ,Eswatini,2018,2001
SYC,Seychelles,2016,2013
SYC,Seychelles,2017,2013
SYC,Seychelles,2018,2013
SYR,Syrian Arab Republic,2016,2004
SYR,Syrian Arab Republic,2017,2004
SYR,Syrian Arab Republic,2018,2004
TCD,Chad,2016,2004
TCD,Chad,2017,2004
TCD,Chad,2018,2004
TGO,Togo,2016,2009
TGO,Togo,2017,2009
TGO,Togo,2018,2009
THA,Thailand,2016,2007
THA,Thailand,2017,2007
THA,Thailand,2018,2007
TJK,Tajikistan,2016,annual chained
TJK,Tajikistan,2017,annual chained
TJK,Tajikistan,2018,annual chained
TKM,Turkmenistan,2016,0
TKM,Turkmenistan,2017,0
TKM,Turkmenistan,2018,0
TLS,Timor-Leste,2016,2012
TLS,Timor-Leste,2017,2012
TLS,Timor-Leste,2018,2012
TON,Tonga,2016,2009
TON,Tonga,2017,2009
TON,Tonga,2018,2009
TTO,Trinidad and Tobago,2016,1998
TTO,Trinidad and Tobago,2017,1998
TTO,Trinidad and Tobago,2018,1998
TUN,Tunisia,2016,2000
TUN,Tunisia,2017,2000
TUN,Tunisia,2018,2000
TUR,Turkey,2016,annual chained
TUR,Turkey,2017,annual chained
TUR,Turkey,2018,annual chained
TUV,Tuvalu,2016,2010
TUV,Tuvalu,2017,2010
TUV,Tuvalu,2018,2010
TZA,Tanzania,2016,2007
TZA,Tanzania,2017,2007
TZA,Tanzania,2018,2007
UGA,Uganda,2016,2006
UGA,Uganda,2017,2006
UGA,Uganda,2018,2006
UKR,Ukraine,2016,annual chained
UKR,Ukraine,2017,annual chained
UKR,Ukraine,2018,annual chained
URY,Uruguay,2016,2006
URY,Uruguay,2017,2006
URY,Uruguay,2018,2006
USA,United States,2016,annual chained
USA,United States,2017,annual chained
USA,United States,2018,annual chained
UZB,Uzbekistan,2016,0
UZB,Uzbekistan,2017,2016
UZB,Uzbekistan,2018,2016
VCT,St. Vincent and the Grenadines,2016,2008
VCT,St. Vincent and the Grenadines,2017,2008
VCT,St. Vincent and the Grenadines,2018,2008
VEN,"Venezuela, RB",2016,2005
VEN,"Venezuela, RB",2017,2005
VEN,"Venezuela, RB",2018,2005
VNM,Vietnam,2016,2014
VNM,Vietnam,2017,2014
VNM,Vietnam,2018,2014
VUT,Vanuatu,2016,1998
VUT,Vanuatu,2017,1998
VUT,Vanuatu,2018,1998
WSM,Samoa,2016,2008
WSM,Samoa,2017,2008
WSM,Samoa,2018,2008
XKX,Kosovo,2016,2008
XKX,Kosovo,2017,2012
XKX,Kosovo,2018,2012
YEM,"Yemen, Rep.",2016,2008
YEM,"Yemen, Rep.",2017,2008
YEM,"Yemen, Rep.",2018,2008
ZAF,South Africa,2016,2011
ZAF,South Africa,2017,2011
ZAF,South Africa,2018,2011
ZMB,Zambia,2016,2003
ZMB,Zambia,2017,2003
ZMB,Zambia,2018,2003
ZWE,Zimbabwe,2016,2012
ZWE,Zimbabwe,2017,2012
ZWE,Zimbabwe,2018,2012
