iso3c,country,FINA_2016,FINA_2017,FINA_2018,SPI.D1.8.FINA_2016,SPI.D1.8.FINA_2017,SPI.D1.8.FINA_2018
AFG,Afghanistan,2001,2001,2001,0.5,0.5,0.5
ALB,Albania,2014,2014,2014,1,1,1
DZA,Algeria,1986,1986,1986,0,0,0
AGO,Angola,1986,1986,1986,0,0,0
ATG,Antigua and Barbuda,NA,NA,NA,0,0,0
ARG,Argentina,1986,1986,1986,0,0,0
ARM,Armenia,2001,2001,2001,0.5,0.5,0.5
AUS,Australia,2001,2014,2014,0.5,1,1
AUT,Austria,ESA 2010,ESA 2010,ESA 2010,1,1,1
AZE,Azerbaijan,NA,NA,NA,0,0,0
BHS,"Bahamas, The",2001,2001,2014,0.5,0.5,1
BHR,Bahrain,2001,2001,2001,0.5,0.5,0.5
BGD,Bangladesh,NA,NA,NA,0,0,0
BRB,Barbados,2001,2001,2001,0.5,0.5,0.5
BLR,Belarus,2001,2001,2001,0.5,0.5,0.5
BEL,Belgium,ESA 2010,ESA 2010,ESA 2010,1,1,1
BLZ,Belize,1986,1986,1986,0,0,0
BEN,Benin,2001,2001,2001,0.5,0.5,0.5
BTN,Bhutan,1986,1986,1986,0,0,0
BOL,Bolivia,1986,1986,1986,0,0,0
BIH,Bosnia and Herzegovina,2001,2001,2001,0.5,0.5,0.5
BWA,Botswana,1986,1986,1986,0,0,0
BRA,Brazil,1986,1986,1986,0,0,0
BRN,Brunei Darussalam,1986,1986,1986,0,0,0
BGR,Bulgaria,ESA 2010,ESA 2010,ESA 2010,1,1,1
BFA,Burkina Faso,1986,1986,1986,0,0,0
BDI,Burundi,1986,1986,1986,0,0,0
CPV,Cabo Verde,1986,1986,1986,0,0,0
KHM,Cambodia,1986,1986,1986,0,0,0
CMR,Cameroon,1986,1986,1986,0,0,0
CAN,Canada,2001,2001,2001,0.5,0.5,0.5
CAF,Central African Republic,1986,1986,1986,0,0,0
TCD,Chad,1986,1986,1986,0,0,0
CHL,Chile,2001,2001,2001,0.5,0.5,0.5
CHN,China,2001,2001,2001,0.5,0.5,0.5
COL,Colombia,NA,NA,NA,0,0,0
COM,Comoros,1986,1986,1986,0,0,0
COD,"Congo, Dem. Rep.",1986,1986,1986,0,0,0
COG,"Congo, Rep.",1986,1986,1986,0,0,0
CRI,Costa Rica,1986,1986,1986,0,0,0
CIV,Côte d'Ivoire,1986,1986,1986,0,0,0
HRV,Croatia,2001,2001,2001,0.5,0.5,0.5
CYP,Cyprus,ESA 2010,ESA 2010,ESA 2010,1,1,1
CZE,Czech Republic,ESA 2010,ESA 2010,ESA 2010,1,1,1
DNK,Denmark,ESA 2010,ESA 2010,ESA 2010,1,1,1
DJI,Djibouti,2001,2001,2001,0.5,0.5,0.5
DMA,Dominica,1986,1986,1986,0,0,0
DOM,Dominican Republic,1986,1986,1986,0,0,0
ECU,Ecuador,2001,2001,2001,0.5,0.5,0.5
EGY,"Egypt, Arab Rep.",2001,2001,2001,0.5,0.5,0.5
SLV,El Salvador,1986,1986,1986,0,0,0
GNQ,Equatorial Guinea,NA,NA,NA,0,0,0
ERI,Eritrea,NA,NA,NA,0,0,0
EST,Estonia,other,other,other,0,0,0
SWZ,Eswatini,2001,2001,2001,0.5,0.5,0.5
ETH,Ethiopia,2001,2001,2001,0.5,0.5,0.5
FJI,Fiji,NA,NA,NA,0,0,0
FIN,Finland,ESA 2010,ESA 2010,ESA 2010,1,1,1
FRA,France,ESA 2010,ESA 2010,ESA 2010,1,1,1
GAB,Gabon,1986,1986,1986,0,0,0
GMB,"Gambia, The",1986,1986,1986,0,0,0
GEO,Georgia,2001,2001,2001,0.5,0.5,0.5
DEU,Germany,ESA 2010,ESA 2010,ESA 2010,1,1,1
GHA,Ghana,1986,1986,1986,0,0,0
GRC,Greece,ESA 2010,ESA 2010,ESA 2010,1,1,1
GRD,Grenada,1986,1986,1986,0,0,0
GTM,Guatemala,1986,1986,1986,0,0,0
GIN,Guinea,NA,NA,NA,0,0,0
GNB,Guinea-Bissau,other,other,other,0,0,0
GUY,Guyana,1986,1986,1986,0,0,0
HTI,Haiti,1986,1986,1986,0,0,0
HND,Honduras,1986,1986,1986,0,0,0
HUN,Hungary,ESA 2010,ESA 2010,ESA 2010,1,1,1
ISL,Iceland,2001,2001,2001,0.5,0.5,0.5
IND,India,2014,2014,2014,1,1,1
IDN,Indonesia,2014,2014,2014,1,1,1
IRN,"Iran, Islamic Rep.",1986,1986,1986,0,0,0
IRQ,Iraq,2001,2001,2001,0.5,0.5,0.5
IRL,Ireland,ESA 2010,ESA 2010,ESA 2010,1,1,1
ISR,Israel,2014,2014,2014,1,1,1
ITA,Italy,ESA 2010,ESA 2010,ESA 2010,1,1,1
JAM,Jamaica,1986,1986,1986,0,0,0
JPN,Japan,2001,2001,2001,0.5,0.5,0.5
JOR,Jordan,2001,2001,2001,0.5,0.5,0.5
KAZ,Kazakhstan,1986,1986,1986,0,0,0
KEN,Kenya,1986,1986,1986,0,0,0
KIR,Kiribati,1986,1986,1986,0,0,0
KOR,"Korea, Rep.",2001,2001,2001,0.5,0.5,0.5
XKX,Kosovo,2014,2014,2014,1,1,1
KWT,Kuwait,1986,1986,1986,0,0,0
KGZ,Kyrgyz Republic,2001,2001,2001,0.5,0.5,0.5
LAO,Lao PDR,NA,NA,NA,0,0,0
LVA,Latvia,ESA 1995,ESA 1995,ESA 1995,0,0,0
LBN,Lebanon,2001,2001,2001,0.5,0.5,0.5
LSO,Lesotho,2001,2001,2001,0.5,0.5,0.5
LBR,Liberia,2001,2001,2001,0.5,0.5,0.5
LBY,Libya,other,other,other,0,0,0
LTU,Lithuania,ESA 2010,ESA 2010,ESA 2010,1,1,1
LUX,Luxembourg,ESA 2010,ESA 2010,ESA 2010,1,1,1
MKD,"Macedonia, FYR",1986,1986,1986,0,0,0
MDG,Madagascar,2001,2001,2001,0.5,0.5,0.5
MWI,Malawi,1986,1986,1986,0,0,0
MYS,Malaysia,1986,1986,1986,0,0,0
MDV,Maldives,NA,NA,NA,0,0,0
MLI,Mali,1986,1986,1986,0,0,0
MLT,Malta,ESA 2010,ESA 2010,ESA 2010,1,1,1
MHL,Marshall Islands,NA,NA,NA,0,0,0
MRT,Mauritania,1986,1986,1986,0,0,0
MUS,Mauritius,2001,2001,2001,0.5,0.5,0.5
MEX,Mexico,1986,1986,1986,0,0,0
FSM,"Micronesia, Fed. Sts.",NA,NA,NA,0,0,0
MDA,Moldova,2001,2001,2001,0.5,0.5,0.5
MNG,Mongolia,1986,1986,1986,0,0,0
MNE,Montenegro,1986,1986,1986,0,0,0
MAR,Morocco,1986,1986,1986,0,0,0
MOZ,Mozambique,1986,1986,1986,0,0,0
MMR,Myanmar,2014,2014,2014,1,1,1
NAM,Namibia,1986,1986,1986,0,0,0
NRU,Nauru,NA,NA,NA,0,0,0
NPL,Nepal,other,other,other,0,0,0
NLD,Netherlands,ESA 2010,ESA 2010,ESA 2010,1,1,1
NZL,New Zealand,NA,NA,NA,0,0,0
NIC,Nicaragua,1986,1986,1986,0,0,0
NER,Niger,1986,1986,1986,0,0,0
NGA,Nigeria,1986,1986,1986,0,0,0
NOR,Norway,2014,2014,2014,1,1,1
OMN,Oman,1986,1986,1986,0,0,0
PAK,Pakistan,1986,1986,1986,0,0,0
PLW,Palau,2001,2001,2001,0.5,0.5,0.5
PAN,Panama,other,other,other,0,0,0
PNG,Papua New Guinea,1986,1986,1986,0,0,0
PRY,Paraguay,1986,1986,1986,0,0,0
PER,Peru,1986,1986,1986,0,0,0
PHL,Philippines,1986,1986,1986,0,0,0
POL,Poland,ESA 2010,ESA 2010,ESA 2010,1,1,1
PRT,Portugal,ESA 2010,ESA 2010,ESA 2010,1,1,1
QAT,Qatar,other,other,other,0,0,0
ROU,Romania,2001,2001,2001,0.5,0.5,0.5
RUS,Russian Federation,2014,2014,2014,1,1,1
RWA,Rwanda,1986,1986,1986,0,0,0
WSM,Samoa,2001,2001,2001,0.5,0.5,0.5
SMR,San Marino,2001,2001,2001,0.5,0.5,0.5
STP,São Tomé and Principe,1986,1986,1986,0,0,0
SAU,Saudi Arabia,1986,1986,1986,0,0,0
SEN,Senegal,2001,2001,2001,0.5,0.5,0.5
SRB,Serbia,1986,1986,1986,0,0,0
SYC,Seychelles,2001,2001,2001,0.5,0.5,0.5
SLE,Sierra Leone,1986,1986,1986,0,0,0
SGP,Singapore,2014,2014,2014,1,1,1
SVK,Slovak Republic,2014,2014,2014,1,1,1
SVN,Slovenia,1986,1986,1986,0,0,0
SLB,Solomon Islands,other,other,other,0,0,0
SOM,Somalia,NA,NA,NA,0,0,0
ZAF,South Africa,2001,2001,2001,0.5,0.5,0.5
SSD,South Sudan,NA,NA,NA,0,0,0
ESP,Spain,ESA 2010,ESA 2010,ESA 2010,1,1,1
LKA,Sri Lanka,1986,1986,1986,0,0,0
KNA,St. Kitts and Nevis,1986,1986,1986,0,0,0
LCA,St. Lucia,1986,1986,1986,0,0,0
VCT,St. Vincent and the Grenadines,1986,1986,1986,0,0,0
SDN,Sudan,1986,1986,1986,0,0,0
SUR,Suriname,2001,2001,2001,0.5,0.5,0.5
SWE,Sweden,ESA 2010,ESA 2010,ESA 2010,1,1,1
CHE,Switzerland,ESA 2010,ESA 2010,ESA 2010,1,1,1
SYR,Syrian Arab Republic,1986,1986,1986,0,0,0
TJK,Tajikistan,2001,2001,2001,0.5,0.5,0.5
TZA,Tanzania,1986,1986,1986,0,0,0
THA,Thailand,2014,2014,2014,1,1,1
TLS,Timor-Leste,1986,1986,1986,0,0,0
TGO,Togo,1986,1986,1986,0,0,0
TON,Tonga,1986,1986,1986,0,0,0
TTO,Trinidad and Tobago,1986,1986,1986,0,0,0
TUN,Tunisia,NA,NA,NA,0,0,0
TUR,Turkey,2014,2014,2014,1,1,1
TKM,Turkmenistan,NA,NA,NA,0,0,0
TUV,Tuvalu,other,other,other,0,0,0
UGA,Uganda,2001,2001,2001,0.5,0.5,0.5
UKR,Ukraine,1986,1986,1986,0,0,0
ARE,United Arab Emirates,2014,2014,2014,1,1,1
GBR,United Kingdom,ESA 2010,ESA 2010,ESA 2010,1,1,1
USA,United States,2001,2001,2001,0.5,0.5,0.5
URY,Uruguay,1986,1986,1986,0,0,0
UZB,Uzbekistan,2014,2014,2014,1,1,1
VUT,Vanuatu,1986,1986,1986,0,0,0
VEN,"Venezuela, RB",1986,1986,1986,0,0,0
VNM,Vietnam,1986,1986,1986,0,0,0
PSE,West Bank and Gaza,1986,1986,1986,0,0,0
YEM,"Yemen, Rep.",1986,1986,1986,0,0,0
ZMB,Zambia,NA,NA,NA,0,0,0
ZWE,Zimbabwe,2001,2001,2001,0.5,0.5,0.5
