iso3c,country,POPU.CENSUS_2016,POPU.CENSUS_2017,POPU.CENSUS_2018,SPI.D2.1.POPU_2016,SPI.D2.1.POPU_2017,SPI.D2.1.POPU_2018
AFG,Afghanistan,1979,1979,1979,0,0,0
ALB,Albania,"2001, 2011","2001, 2011","2001, 2011",1,1,1
DZA,Algeria,"1998, 2008","1998, 2008","1998, 2008",1,1,1
AGO,Angola,2014,2014,2014,1,1,1
ATG,Antigua and Barbuda,"2001, 2011","2001, 2011","2001, 2011",1,1,1
ARG,Argentina,"2001, 2010","2001, 2010","2001, 2010",1,1,1
ARM,Armenia,"2001, 2011","2001, 2011","2001, 2011",1,1,1
AUS,Australia,"2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016",1,1,1
AUT,Austria,"2001, 2011","2001, 2011","2001, 2011",1,1,1
AZE,Azerbaijan,"1999, 2009","1999, 2009","1999, 2009",1,1,1
BHS,"Bahamas, The","2000, 2010","2000, 2010","2000, 2010",1,1,1
BHR,Bahrain,"2001, 2011","2001, 2011","2001, 2011",1,1,1
BGD,Bangladesh,"2001, 2011","2001, 2011","2001, 2011",1,1,1
BRB,Barbados,"2000, 2010","2000, 2010","2000, 2010",1,1,1
BLR,Belarus,"1999, 2009","1999, 2009","1999, 2009",1,1,1
BEL,Belgium,"2001, 2011","2001, 2011","2001, 2011",1,1,1
BLZ,Belize,"2000, 2010","2000, 2010","2000, 2010",1,1,1
BEN,Benin,"2002, 2013","2002, 2013","2002, 2013",1,1,1
BTN,Bhutan,"2005, 2016","2005, 2016","2005, 2016",0.5,1,1
BOL,Bolivia,"2001, 2012","2001, 2012","2001, 2012",1,1,1
BIH,Bosnia and Herzegovina,2013,2013,2013,1,1,1
BWA,Botswana,"2001, 2011","2001, 2011","2001, 2011",1,1,1
BRA,Brazil,"2000, 2010","2000, 2010","2000, 2010",1,1,1
BRN,Brunei Darussalam,"2001, 2011","2001, 2011","2001, 2011",1,1,1
BGR,Bulgaria,"2001, 2011","2001, 2011","2001, 2011",1,1,1
BFA,Burkina Faso,"2006, 2016","2006, 2016","2006, 2016",1,1,1
BDI,Burundi,"2008, 2018","2008, 2018","2008, 2018",1,1,1
CPV,Cabo Verde,"2000, 2010","2000, 2010","2000, 2010",1,1,1
KHM,Cambodia,"1998, 2008, 2018","1998, 2008, 2018","1998, 2008, 2018",1,1,1
CMR,Cameroon,"2005, 2016","2005, 2016","2005, 2016",0.5,1,1
CAN,Canada,"2006, 2016","2006, 2016","2006, 2016",1,1,1
CAF,Central African Republic,2003,2003,2003,0.5,0.5,0.5
TCD,Chad,2009,2009,2009,1,1,1
CHL,Chile,"2002, 2012, 2017","2002, 2012, 2017","2002, 2012, 2017",1,1,1
CHN,China,"2000, 2010","2000, 2010","2000, 2010",1,1,1
COL,Colombia,"2006, 2017","2006, 2017","2006, 2017",1,0.5,1
COM,Comoros,"2003, 2016","2003, 2016","2003, 2016",0.5,1,1
COD,"Congo, Dem. Rep.",2016,2016,2016,0,1,1
COG,"Congo, Rep.","2007, 2017","2007, 2017","2007, 2017",1,1,1
CRI,Costa Rica,"2000, 2011","2000, 2011","2000, 2011",1,1,1
NA,Côte d'Ivoire,"1998, 2014","1998, 2014","1998, 2014",1,1,1
HRV,Croatia,"2001, 2011","2001, 2011","2001, 2011",1,1,1
CYP,Cyprus,"2001, 2011","2001, 2011","2001, 2011",1,1,1
CZE,Czech Republic,"2001, 2011","2001, 2011","2001, 2011",1,1,1
DNK,Denmark,"2001, 2011","2001, 2011","2001, 2011",1,1,1
DJI,Djibouti,2009,2009,2009,1,1,1
DMA,Dominica,"2001, 2011","2001, 2011","2001, 2011",1,1,1
DOM,Dominican Republic,"2002, 2010","2002, 2010","2002, 2010",1,1,1
ECU,Ecuador,"2001, 2010","2001, 2010","2001, 2010",1,1,1
EGY,"Egypt, Arab Rep.","2006, 2016","2006, 2016","2006, 2016",1,1,1
SLV,El Salvador,"2007, 2017","2007, 2017","2007, 2017",1,1,1
GNQ,Equatorial Guinea,"2002, 2015","2002, 2015","2002, 2015",1,1,1
ERI,Eritrea,0,0,0,0,0,0
EST,Estonia,"2000, 2012","2000, 2012","2000, 2012",1,1,1
ETH,Ethiopia,"2007, 2017","2007, 2017","2007, 2017",1,1,1
FJI,Fiji,"2007, 2017","2007, 2017","2007, 2017",1,1,1
FIN,Finland,"2000, 2010","2000, 2010","2000, 2010",1,1,1
FRA,France,"1999, 2006, 2015","1999, 2006, 2015","1999, 2006, 2015",1,1,1
GAB,Gabon,"1993, 2003","1993, 2003","1993, 2003",0.5,0.5,0.5
GMB,"Gambia, The","2003, 2013","2003, 2013","2003, 2013",1,1,1
GEO,Georgia,"2002, 2014","2002, 2014","2002, 2014",1,1,1
DEU,Germany,2011,2011,2011,1,1,1
GHA,Ghana,"2000, 2010","2000, 2010","2000, 2010",1,1,1
GRC,Greece,"2001, 2011","2001, 2011","2001, 2011",1,1,1
GRD,Grenada,"2001, 2011","2001, 2011","2001, 2011",1,1,1
GTM,Guatemala,"2002, 2017","2002, 2017","2002, 2017",0.5,0.5,1
GIN,Guinea,"1996, 2014","1996, 2014","1996, 2014",1,1,1
GNB,Guinea-Bissau,"1991, 2009","1991, 2009","1991, 2009",1,1,1
GUY,Guyana,"2002, 2012","2002, 2012","2002, 2012",1,1,1
HTI,Haiti,"2003, 2016","2003, 2016","2003, 2016",0.5,1,1
HND,Honduras,"2001, 2011","2001, 2011","2001, 2011",1,1,1
HUN,Hungary,"2001, 2011","2001, 2011","2001, 2011",1,1,1
ISL,Iceland,2011,2011,2011,1,1,1
IND,India,"2001, 2011","2001, 2011","2001, 2011",1,1,1
IDN,Indonesia,"1996, 2006, 2011, 2016","1996, 2006, 2011, 2016","1996, 2006, 2011, 2016",1,1,1
IRN,"Iran, Islamic Rep.","2006, 2011, 2016","2006, 2011, 2016","2006, 2011, 2016",1,1,1
IRQ,Iraq,"1996, 2011, 2016","1996, 2011, 2016","1996, 2011, 2016",1,1,1
IRL,Ireland,"1996, 2002, 2006, 2011, 2016","1996, 2002, 2006, 2011, 2016","1996, 2002, 2006, 2011, 2016",1,1,1
ISR,Israel,2009,2009,2009,1,1,1
ITA,Italy,"2001, 2012","2001, 2012","2001, 2012",1,1,1
JAM,Jamaica,"2001, 2002, 2011","2001, 2002, 2011","2001, 2002, 2011",1,1,1
JPN,Japan,"2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015",1,1,1
JOR,Jordan,"2004, 2015","2004, 2015","2004, 2015",1,1,1
KAZ,Kazakhstan,"1999, 2009","1999, 2009","1999, 2009",1,1,1
KEN,Kenya,"1999, 2009","1999, 2009","1999, 2009",1,1,1
KIR,Kiribati,"2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015",1,1,1
KOR,"Korea, Rep.","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015",1,1,1
XKX,Kosovo,"1985, 1995, 2005, 2015","1985, 1995, 2005, 2015","1985, 1995, 2005, 2015",1,1,1
KWT,Kuwait,"2005, 2011","2005, 2011","2005, 2011",1,1,1
KGZ,Kyrgyz Republic,"1999, 2009","1999, 2009","1999, 2009",1,1,1
LAO,Lao PDR,"1999, 2005, 2015","1999, 2005, 2015","1999, 2005, 2015",1,1,1
LVA,Latvia,"2000, 2011","2000, 2011","2000, 2011",1,1,1
LBN,Lebanon,"2000, 2011","2000, 2011","2000, 2011",1,1,1
LSO,Lesotho,"2006, 2016","2006, 2016","2006, 2016",1,1,1
LBR,Liberia,"2008, 2018","2008, 2018","2008, 2018",1,1,1
LBY,Libya,"2006, 2017","2006, 2017","2006, 2017",1,0.5,1
LTU,Lithuania,"2001, 2011","2001, 2011","2001, 2011",1,1,1
LUX,Luxembourg,"2001, 2011","2001, 2011","2001, 2011",1,1,1
NA,"Macedonia, FYR",2002,2002,2002,0.5,0.5,0.5
MDG,Madagascar,NA,NA,NA,0,0,0
MWI,Malawi,"2008, 2018","2008, 2018","2008, 2018",1,1,1
MYS,Malaysia,"2000, 2010","2000, 2010","2000, 2010",1,1,1
MDV,Maldives,"2000, 2010","2000, 2010","2000, 2010",1,1,1
MLI,Mali,"1998, 2009","1998, 2009","1998, 2009",1,1,1
MLT,Malta,"2005, 2011","2005, 2011","2005, 2011",1,1,1
MHL,Marshall Islands,"1999, 2011","1999, 2011","1999, 2011",1,1,1
MRT,Mauritania,"2000, 2013","2000, 2013","2000, 2013",1,1,1
MUS,Mauritius,"2000, 2011","2000, 2011","2000, 2011",1,1,1
MEX,Mexico,"2000, 2005, 2010, 2011","2000, 2005, 2010, 2011","2000, 2005, 2010, 2011",1,1,1
FSM,"Micronesia, Fed. Sts.","2000, 2010","2000, 2010","2000, 2010",1,1,1
MDA,Moldova,"2004, 2014","2004, 2014","2004, 2014",1,1,1
MNG,Mongolia,"2000, 2003, 2010, 2011","2000, 2003, 2010, 2011","2000, 2003, 2010, 2011",1,1,1
MNE,Montenegro,"2003, 2011","2003, 2011","2003, 2011",1,1,1
MAR,Morocco,"2004, 2014","2004, 2014","2004, 2014",1,1,1
MOZ,Mozambique,"1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017",1,1,1
MMR,Myanmar,2014,2014,2014,1,1,1
NAM,Namibia,"2001, 2011","2001, 2011","2001, 2011",1,1,1
NRU,Nauru,"2002, 2012","2002, 2012","2002, 2012",1,1,1
NPL,Nepal,"2001, 2011","2001, 2011","2001, 2011",1,1,1
NLD,Netherlands,"2001, 2011","2001, 2011","2001, 2011",1,1,1
NZL,New Zealand,"2001, 2006, 2013","2001, 2006, 2013","2001, 2006, 2013",1,1,1
NIC,Nicaragua,"2005, 2017","2005, 2017","2005, 2017",0.5,0.5,1
NER,Niger,"2001, 2012","2001, 2012","2001, 2012",1,1,1
NGA,Nigeria,"1991, 2006, 2017","1991, 2006, 2017","1991, 2006, 2017",1,0.5,1
NOR,Norway,"2001, 2011","2001, 2011","2001, 2011",1,1,1
OMN,Oman,"2003, 2010","2003, 2010","2003, 2010",1,1,1
PAK,Pakistan,"1998, 2016","1998, 2016","1998, 2016",0.5,1,1
PLW,Palau,"2000, 2005, 2010, 2015","2000, 2005, 2010, 2015","2000, 2005, 2010, 2015",1,1,1
PAN,Panama,"2000, 2010","2000, 2010","2000, 2010",1,1,1
PNG,Papua New Guinea,"2000, 2011","2000, 2011","2000, 2011",1,1,1
PRY,Paraguay,"2007, 2017","2007, 2017","2007, 2017",1,1,1
PER,Peru,"2005, 2007, 2017","2005, 2007, 2017","2005, 2007, 2017",1,1,1
PHL,Philippines,"2000, 2007, 2010, 2015","2000, 2007, 2010, 2015","2000, 2007, 2010, 2015",1,1,1
POL,Poland,"2002, 2011","2002, 2011","2002, 2011",1,1,1
PRT,Portugal,"2001, 2011","2001, 2011","2001, 2011",1,1,1
QAT,Qatar,"2010, 2015","2010, 2015","2010, 2015",1,1,1
ROU,Romania,"2002, 2011","2002, 2011","2002, 2011",1,1,1
RUS,Russian Federation,"2002, 2010","2002, 2010","2002, 2010",1,1,1
RWA,Rwanda,"2001, 2012","2001, 2012","2001, 2012",1,1,1
WSM,Samoa,"2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016",1,1,1
SMR,San Marino,2010,2010,2010,1,1,1
NA,São Tomé and Principe,"2001, 2012","2001, 2012","2001, 2012",1,1,1
SAU,Saudi Arabia,"2004, 2010","2004, 2010","2004, 2010",1,1,1
SEN,Senegal,"2002, 2013","2002, 2013","2002, 2013",1,1,1
SRB,Serbia,"2002, 2011","2002, 2011","2002, 2011",1,1,1
SYC,Seychelles,"2002, 2010","2002, 2010","2002, 2010",1,1,1
SLE,Sierra Leone,"2004, 2015","2004, 2015","2004, 2015",1,1,1
SGP,Singapore,"2000, 2010","2000, 2010","2000, 2010",1,1,1
SVK,Slovak Republic,"2001, 2011","2001, 2011","2001, 2011",1,1,1
SVN,Slovenia,"2002, 2011, 2015","2002, 2011, 2015","2002, 2011, 2015",1,1,1
SLB,Solomon Islands,"1999, 2009","1999, 2009","1999, 2009",1,1,1
SOM,Somalia,"1987, 1996","1987, 1996","1987, 1996",0.5,0,0
ZAF,South Africa,"1996, 2001, 2011, 2016","1996, 2001, 2011, 2016","1996, 2001, 2011, 2016",1,1,1
SSD,South Sudan,"2008, 2017","2008, 2017","2008, 2017",1,1,1
ESP,Spain,"2001, 2011","2001, 2011","2001, 2011",1,1,1
LKA,Sri Lanka,"2001, 2012","2001, 2012","2001, 2012",1,1,1
KNA,St. Kitts and Nevis,"2001, 2011","2001, 2011","2001, 2011",1,1,1
LCA,St. Lucia,"2001, 2010","2001, 2010","2001, 2010",1,1,1
VCT,St. Vincent and the Grenadines,"2001, 2012","2001, 2012","2001, 2012",1,1,1
SDN,Sudan,"2008, 2018","2008, 2018","2008, 2018",1,1,1
SUR,Suriname,"2003, 2012","2003, 2012","2003, 2012",1,1,1
NA,Swaziland,"2007, 2017","2007, 2017","2007, 2017",1,1,1
SWE,Sweden,2011,2011,2011,1,1,1
CHE,Switzerland,"2000, 2010","2000, 2010","2000, 2010",1,1,1
SYR,Syrian Arab Republic,2004,2004,2004,0.5,0.5,0.5
TJK,Tajikistan,"2000, 2010","2000, 2010","2000, 2010",1,1,1
TZA,Tanzania,"2002, 2012","2002, 2012","2002, 2012",1,1,1
THA,Thailand,"2000, 2010","2000, 2010","2000, 2010",1,1,1
TLS,Timor-Leste,"2004, 2010, 2015","2004, 2010, 2015","2004, 2010, 2015",1,1,1
TGO,Togo,2010,2010,2010,1,1,1
TON,Tonga,"2001, 2006, 2011, 2016","2001, 2006, 2011, 2016","2001, 2006, 2011, 2016",1,1,1
TTO,Trinidad and Tobago,"2000, 2011","2000, 2011","2000, 2011",1,1,1
TUN,Tunisia,"2004, 2014","2004, 2014","2004, 2014",1,1,1
TUR,Turkey,"2000, 2007, 2011","2000, 2007, 2011","2000, 2007, 2011",1,1,1
TKM,Turkmenistan,2012,2012,2012,1,1,1
TUV,Tuvalu,"2002, 2012","2002, 2012","2002, 2012",1,1,1
UGA,Uganda,"2002, 2014","2002, 2014","2002, 2014",1,1,1
UKR,Ukraine,2001,2001,2001,0.5,0.5,0.5
ARE,United Arab Emirates,"2005, 2010","2005, 2010","2005, 2010",1,1,1
GBR,United Kingdom,"2001, 2011","2001, 2011","2001, 2011",1,1,1
USA,United States,"2000, 2010","2000, 2010","2000, 2010",1,1,1
URY,Uruguay,"2004, 2011","2004, 2011","2004, 2011",1,1,1
UZB,Uzbekistan,1989,1989,1989,0,0,0
VUT,Vanuatu,"1999, 2009, 2016","1999, 2009, 2016","1999, 2009, 2016",1,1,1
VEN,"Venezuela, RB","2001, 2011","2001, 2011","2001, 2011",1,1,1
VNM,Vietnam,"1999, 2009","1999, 2009","1999, 2009",1,1,1
PSE,West Bank and Gaza,"1997, 2007, 2017","1997, 2007, 2017","1997, 2007, 2017",1,1,1
YEM,"Yemen, Rep.",2004,2004,2004,0.5,0.5,0.5
ZMB,Zambia,"2000, 2010","2000, 2010","2000, 2010",1,1,1
ZWE,Zimbabwe,"2002, 2012","2002, 2012","2002, 2012",1,1,1
